title,url,authors,year,journal,abstract,citations
[BOOK][B]Rational choice in an uncertain world: The psychology of judgment and decisionmaking,https://books.google.com/books?hl=en&lr=&id=w_fYZZPcgpkC&oi=fnd&pg=PP1&dq=analogy+making&ots=9npXLG_icp&sig=tAGBe34qQvqQENfiSYuDJfjTc9I,R Hastie,2010,books.google.com,… decisionmakingand this book is knowledge about simple principles that define rationality indecisionmaking… The computational model is obviously inspired by ananalogybetween the …,2408
[BOOK][B]Thinking and deciding,https://books.google.com/books?hl=en&lr=&id=v9_LEAAAQBAJ&oi=fnd&pg=PR15&dq=analogy+making&ots=5-_WQEkAS7&sig=WdEsl3Ql4SzCqBq-W2jq1rxufAQ,J Baron- 2023,2023,books.google.com,… and that one main problem with our thinking and decisionmakingis that much of it suffers from… of ways tomakeit applicable to our situation. This is the important mechanism ofanalogy. …,5418
[BOOK][B]The development of cognitive anthropology,https://books.google.com/books?hl=en&lr=&id=2QCWe2r-pvwC&oi=fnd&pg=PR10&dq=analogy+making&ots=VBf13oAlbg&sig=CrQNsQa1A1TQZS6_46YOGHFwht0,RG d'Andrade- 1995,1995,books.google.com,… The cognitive anthropologist studies how people in social groups conceive of and thinkabout the objects and events whichmakeup their world - including everything from physical …,3764
Cognitive radio:makingsoftware radios more personal,https://ieeexplore.ieee.org/abstract/document/788210/,J Mitola,2002,ieeexplore.ieee.org,"… domain isanalogousto a clicss gamc. The network may orchcstratc the gamc, or in somehands (eg, thc US industrial, scicntific, and mcdical band) cognitive radios will simply compctc …",12527
Learning to think like an adult,https://citeseerx.ist.psu.edu/document?rpid=rep1&type=pdf&doi=cb65f6c1f6d2a0d99572cd4f36a27af139061cc4,J Mezirow - Learning as transformation: Critical perspectives on a …,2000,Citeseer,"… individualistic ""frame of referencel'-andmakeanalogiesto interpret the meaning of our newsensory … In presentational construal we do not require words tomakemeaning, as when we …",6091
How brainsmakechaos in order tomakesense of the world,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/how-brains-make-chaos-in-order-to-make-sense-of-the-world/3811D1F3B8203EFE80CAF7449D0792DF,CA Skarda,1987,cambridge.org,"… The number and even the existence of ""primary odors""analogousto colors or tastes are un…First, our model, based on self-organizing neural dynamics,makesit desirable to reevaluate …",2762
"[BOOK][B]Rules, norms, and decisions: On the conditions of practical and legal reasoning in international relations and domestic affairs",https://books.google.com/books?hl=en&lr=&id=EvI2Zv92p90C&oi=fnd&pg=PP11&dq=analogy+making&ots=S6Xombnr7Y&sig=3zkfmtaRLKls_5Xay9-BlPCqCKg,FV Kratochwil,1991,books.google.com,"… largely in terms of negativeanalogies. A case in point is the … Bymakingsocial order dependentupon law and law, in turn, … These are heady claims, and I will attempt tomakegood on …",3221
The dynamics of composing:Makingplans and juggling constraints,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315630274-4/dynamics-composing-making-plans-juggling-constraints-linda-flower-john-hayes,LS Flower,2016,taylorfrancis.com,"This chapter is a response to an intriguing problem. Imagine yourself faced with the followingsituation. A person has just arrived on the doorstep saying, “I've never written anything …",2139
"[BOOK][B]Folkways: A study of the sociological importance of usages, manners, customs, mores, and morals",https://books.google.com/books?hl=en&lr=&id=BgLDDwAAQBAJ&oi=fnd&pg=PT8&dq=analogy+making&ots=vqx2yJ0Pr7&sig=hxQg4Hv7u0HDoJ_CuurZZvcx0z8,WG Sumner,2019,books.google.com,…Analogymakesit easy to assume that the ways of beasts had produced channels of habitand predisposition along which dexterities and other psychophysical activities would run easily…,6052
[BOOK][B]Design thinking: Understanding how designers think and work,https://books.google.com/books?hl=en&lr=&id=HISpEAAAQBAJ&oi=fnd&pg=PR1&dq=analogy+making&ots=r0sjFp4FLT&sig=19e9PwodFiNX4xPGztLXXAtsc_c,N Cross- 2023,2023,books.google.com,… ananalogy(the form of a squid) to the problem that was on Philippe's mind (a novel form fora lemon squeezer). This kind ofanalogy-making… was Starck's ability tomakesuch a leap of …,2885
Nonanalytic concept formation and memory for instances,https://www.taylorfrancis.com/chapters/edit/10.4324/9781032633275-10/nonanalytic-concept-formation-memory-instances-lee-brooks,L Brooks - Cognition and categorization,2024,taylorfrancis.com,… We can go a step further andmakethe argument that these … tomakeour own analysis ofananalogystrategy easier. … are not meaningful; all of whichmakesit hard to do any post hoc …,1567
[BOOK][B]Makingthe social world: The structure of human civilization,https://books.google.com/books?hl=en&lr=&id=kz6R0eDZ5OEC&oi=fnd&pg=PP8&dq=analogy+making&ots=AN8EpMFSVB&sig=W9hgQyfOM7vwIHyY3ET8qHIuCrs,J Searle,2010,books.google.com,… Inmakingtheseanalogiesto the natural sciences I do not imply that the social sciencesare just like the natural sciences. That is not the point. The point rather is that it seems to me …,4409
[BOOK][B]Themakingof Homeric verse: The collected papers of Milman Parry,https://books.google.com/books?hl=en&lr=&id=cbvyswUgSnEC&oi=fnd&pg=PR2&dq=analogy+making&ots=9NL9jGIEbW&sig=mr3fi5EbTGIwg8mtpDG7TgvGOYU,M Parry,1987,books.google.com,"…analogyin HS is not the minor problem which it raises of the definition of the formula, but thesuggestion itmakes… The much more extended discussion of the effects ofanalogyin HS as …",2536
The algebra of events,https://www.jstor.org/stable/25001229,E Bach - Linguistics and philosophy,1986,JSTOR,… I will start by considering events to beanalogousto the singular and plural individuals andbounded processes ('bits of process')analogousto the portions of matter thatmakeup the '…,2485
A recipe for meaningful gamification,https://link.springer.com/chapter/10.1007/978-3-319-10208-5_1,S Nicholson- Gamification in education and business,2015,Springer,… a marketing department may choose to use a battlegroundanalogyto represent the “war” that… ananalogyis ensuring that the playermakesthe connection between theanalogyand the …,2286
[BOOK][B]Phonological skills and learning to read,https://www.taylorfrancis.com/books/mono/10.4324/9781315695068/phonological-skills-learning-read-usha-goswami-peter-bryant,U Goswami,2016,taylorfrancis.com,… We ourselves did notmakeany strong developmental claims aboutanalogybeing a dominant… our data suggest that theymakeinferences [ieanalogies] at the beginning [of reading] but …,3750
"[BOOK][B]Making: Anthropology, archaeology, art and architecture",https://www.taylorfrancis.com/books/mono/10.4324/9780203559055/making-tim-ingold,T Ingold- 2013,2013,taylorfrancis.com,"… are all ways ofmaking, and all are …makingin which sentient practitioners and active materialscontinually answer to, or ‘correspond’, with one another in the generation of form.Making…",4866
Characterization of the decision-makingdeficit of patients with ventromedial prefrontal cortex lesions,https://academic.oup.com/brain/article-abstract/123/11/2189/255844,A Bechara,2000,academic.oup.com,… This task wasanalogousto the original task (ABCD). The only difference was a change inthe frequency or magnitude of delayed punishment relative to immediate reward. The change …,2788
Man is to computer programmer as woman is to homemaker? debiasing word embeddings,https://proceedings.neurips.cc/paper_files/paper/2016/hash/a486cd07e4ac3d270571622f4f316ec5-Abstract.html,T Bolukbasi,2016,proceedings.neurips.cc,"…analogy, we asked the workers two yes/no questions: (a) whether the pairingmakessenseas ananalogy, … Overall, 72 out of 150analogieswere rated as gender-appropriate by five or …",4395
[BOOK][B]Model categories and their localizations,https://books.google.com/books?hl=en&lr=&id=jKPN38l8LwcC&oi=fnd&pg=PR9&dq=analogy+making&ots=y7ilXyn9qS&sig=1OBacsla2buqEOCnP2c9xwdMwN8,PS Hirschhorn,2003,books.google.com,… Constructing homotopy function complexes requiresmakingan … in an attempt tomakethisaccessible to the novice. For a … A right localization is theanalogousnotion for right Quillen …,2222
Motivation and motivating in the foreign language classroom,https://www.jstor.org/stable/330107,Z Dörnyei- The modern language journal,1994,JSTOR,"… The intent of this paper was tomakeL2 motivation research more ""education-friendly,""that is, ""congruent with the concept of motivation that teachers are convinced is critical for …",5534
Cognitive and ethical growth: Themakingof meaning,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315051888-5/cognitive-ethical-growth-making-meaning-william-perry,WG Perry - College student development and academic life,2014,taylorfrancis.com,"… These contextual schema provide readyanalogiesin concrete experience that the studentmay ""lift"" to provide patterns for abstract thought itself. Ideas can then be conceived as …",2277
"[BOOK][B]Language, usage and cognition",https://books.google.com/books?hl=en&lr=&id=Htwy_iPG114C&oi=fnd&pg=PR5&dq=analogy+making&ots=jY9dTwRg-I&sig=F2yS8cOAsLuYf4UrCftlgiIYkkg,J Bybee- 2010,2010,books.google.com,"… the inferences that the hearermakes. In the next chapter, we examineanalogy, which will be… vides the framework of similarity upon whichanalogydepends. In the previous chapter we …",4682
How to solve it: A new aspect of mathematical method,https://www.degruyter.com/document/doi/10.1515/9781400828678/html,G Polya - How to solve it,2014,degruyter.com,… How to Solve It includes a heuristic dictionary with dozens of entries on how tomakeproblemsmore manageable—fromanalogyand induction to the heuristic method of starting with a …,20543
[CITATION][C]What is artificial intelligence,,J McCarthy- 2007,2007,Stanford University,,3112
Makinglearning fun: A taxonomy of intrinsic motivations for learning,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003163244-10/making-learning-fun-thomas-malone-mark-lepper,TW Malone,2021,taylorfrancis.com,"… Endogenous fantasies, in particular, frequently offeranalogiesor metaphors that mayprovide the learner with leverage for better understanding new information by relating it to past …",4395
[BOOK][B]Empire of nations: Ethnographic knowledge and themakingof the Soviet Union,https://books.google.com/books?hl=en&lr=&id=2oeRI84e13QC&oi=fnd&pg=PR9&dq=analogy+making&ots=LSDD3jn8u_&sig=wgVKApsSxygqZnVcwU9Sy8HjUDE,F Hirsch,2005,books.google.com,"… practices, andmakingarguments about the Soviet case largely by means ofanalogy. Andstill … a larger international context, refrain frommakingclaims of Soviet exceptionalism, and (…",2243
[BOOK][B]Art and agency: an anthropological theory,https://books.google.com/books?hl=en&lr=&id=DlJxAwAAQBAJ&oi=fnd&pg=PP1&dq=analogy+making&ots=uGyy7lx4-I&sig=atRDoYFmXZ9mTMCLCGq3pbhVz70,A Gell,1998,books.google.com,"… this foreword should attempt, in order tomakethe arguments that follow more accessible, …maketheanalogyin order to guide the reader as to my basic intentions. The point I ammaking…",11117
Glove: Global vectors for word representation,https://aclanthology.org/D14-1162.pdf,J Pennington,2014,aclanthology.org,"… We analyze andmakeexplicit the model properties needed for such …analogytask, indicatinga sub-optimal vector space structure. Methods like skip-gram may do better on theanalogy…",45823
"[BOOK][B]Universal principles of design, revised and updated: 125 ways to enhance usability, influence perception, increase appeal,makebetter design decisions, and …",https://books.google.com/books?hl=en&lr=&id=3RFyaF7jCZsC&oi=fnd&pg=PA3&dq=analogy+making&ots=x9O1izA0Jj&sig=rc5wZmCGe87WDLgn8bffypd1_4Y,W Lidwell,2010,books.google.com,… to find the information and know-how required tomakea design work—until now. Just afew of … How can Imakebetter design decisions?...). Each principle is presented in a two-page …,2803
Three-dimensional optical metamaterial with a negative refractive index,https://www.nature.com/articles/nature07247,J Valentine,2008,nature.com,"… Such thin structures areanalogousto a monolayer of atoms,makingit difficult to assign bulk… Moreover, it can readily be probed from free space,makingit functional for optical devices. …",2881
[BOOK][B]Decisionmakingwith the analytic network process,https://link.springer.com/content/pdf/10.1007/978-1-4614-7279-7.pdf,TL Saaty,2006,Springer,… (ANP) in decisionmakingdemonstrate to our considerable … When wemakedecisionsacross the boundaries of different … It is synthesis that is needed tomakegood decisions. The …,2441
Photonic crystals: putting a new twist on light,https://www.nature.com/articles/386143a0,JD Joannopoulos,1997,nature.com,"… This should be contrasted with 30% power transmission in ananalogousdielectricwaveguide"".Makingvery sharp lossless bends in waveguides which operate at 1.5 pm is of great …",4316
[BOOK][B]Primer on decisionmaking: How decisions happen,https://books.google.com/books?hl=en&lr=&id=zydIx15DM2kC&oi=fnd&pg=PR7&dq=analogy+making&ots=yYaeYa4pN8&sig=i4CiBjfyw0Fe0dlBUu0V0Zr6-jU,JG March,1994,books.google.com,"… In some circumstances, a betteranalogyfor information acquisition might be to mating, …Or the properanalogymight be to hunting, where information is actively eluding information …",6899
Motivated skepticism: Use of differential decision criteria for preferred and nonpreferred conclusions.,https://psycnet.apa.org/record/1993-04301-001,PH Ditto,1992,psycnet.apa.org,"… on theanalogyquestions as … ofanalogyquestions required by subjects tomakethis decision.Overall, subjects in the no-preference conditions required significantly more cards tomake…",2219
A methodology for profiling consumers' decision‐makingstyles,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-6606.1986.tb00382.x,GB Sprotles,1986,Wiley Online Library,"… In essence, it is a basic consumer personality,analogousto the concept of personality in …-makingstyles, we listed the major characteristics of consumer decision-makingidentified in the …",2393
The contemporary theory of metaphor,https://escholarship.org/content/qt54g7j6zh/qt54g7j6zh.pdf,G Lakoff- 1993,1993,escholarship.org,"… For further examples of how literary metaphormakesuse of the ordinary metaphor system, …We can convert that example into ananalogywith the following sentence: "" Gary Hart was …",12780
[BOOK][B]The Gutenberg galaxy: Themakingof typographic man,https://books.google.com/books?hl=en&lr=&id=zFc5n4CbsbwC&oi=fnd&pg=PP1&dq=analogy+making&ots=cCxGzgwJUQ&sig=W1huQIkObJzDlDOFvfWLxjm6iwQ,M McLuhan,2011,books.google.com,"… of Marshall, we miss the point if we quibble over whether he means 'the mosaic is THE ONLYway to reveal etc ...' or whether, on reflection, he may not mean that the mosaicanalogyis …",14364
"[BOOK][B]Concepts, kinds, and cognitive development",https://books.google.com/books?hl=en&lr=&id=vbOCF_qzX1QC&oi=fnd&pg=PR9&dq=analogy+making&ots=D6_W2nvo8b&sig=RMg9rAm9vezd92M3A_8IVi_97tg,FC Keil- 1992,1992,books.google.com,"… forsythia growing along our driveway and decided tomakea bouquet for my teacher. After a… Moreover, if communication is possible in some domains,analogiesmaymakeit possible to …",4049
[BOOK][B]Complex responsive processes in organizations: Learning and knowledge creation,https://www.taylorfrancis.com/books/mono/10.4324/9780203361481/complex-responsive-processes-organizations-ralph-stacey,R Stacey,2003,taylorfrancis.com,"… From this perspective, itmakesno sense to talk about measuring intellectual capital and …book as a source domain foranalogieswith human action. The mainanalogyto be drawn on is …",2418
The temporality of the landscape,https://www.tandfonline.com/doi/abs/10.1080/00438243.1993.9980235,T Ingold- World archaeology,1993,Taylor & Francis,"…makeup what I shall call the 'taskscape', and it is with the intrinsic temporality of the taskscapethat I shall be principally concerned in this section. We canmake… of thisanalogy, tomake…",5929
[BOOK][B]Sources of power: How peoplemakedecisions,https://books.google.com/books?hl=en&lr=&id=F201DwAAQBAJ&oi=fnd&pg=PR7&dq=analogy+making&ots=dbC9n-pNDa&sig=wfz-R2VvIhW5v42Ia2U44BddEQI,GA Klein- 2017,2017,books.google.com,… I think what attracted readers was that the book described a new model of decisionmaking.…Analogies. We expected to see a heavy use ofanalogouscases. We found very little. Never …,6585
[CITATION][C]Six Thinking Hats: The multi-million bestselling guide to running better meetings andmakingfaster decisions,,E De Bono,2017,Penguin uk,,4432
Makingbest use of model evaluations to compute sensitivity indices,https://www.sciencedirect.com/science/article/pii/S0010465502002801,A Saltelli- Computer physics communications,2002,Elsevier,"This paper deals with computations of sensitivity indices in sensitivity analysis. Given amathematical or computational model y=f(x 1 ,x 2 ,…,x k ), where the input factors x i 's are …",2541
[BOOK][B]Makingsex: Body and gender from the Greeks to Freud,https://books.google.com/books?hl=en&lr=&id=H3ILEAAAQBAJ&oi=fnd&pg=PR11&dq=analogy+making&ots=ViEqZSxBxq&sig=icG54Kh0m_BAOS8PgqNXRd205uY,T Laqueur,1992,books.google.com,"This is a book about themakingand unmaking of sex over the …MakingSex ends with Freud,who denied the neurological …MakingSex will stimulate thought, whether argument or …",9498
[BOOK][B]Accelerated learning for the 21st century: The six-step plan to unlock your master-mind,https://books.google.com/books?hl=en&lr=&id=YAfwlCuShgkC&oi=fnd&pg=PA1&dq=analogy+making&ots=B_4-aJqQvC&sig=K1yctxa-igrZybJyG-RWQGzQ55w,CP Rose,1998,books.google.com,"… For teachers, as we will see later in this book, it meansmakingthe acquisition of knowledge… It's our ""metaphorical mind"" looking foranalogiesand patterns. Researchers also ascribe to …",783
Negative refractionmakesa perfect lens,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.85.3966,JB Pendry- Physical review letters,2000,APS,… However we can stillmakesome progress even in this case. Consider the electrostatic limit:a system in which all dimensions are smaller than the wavelength of light. In this system we …,16377
"[BOOK][B]Darwin's plots: evolutionary narrative in Darwin, George Eliot and nineteenth-century fiction",https://books.google.com/books?hl=en&lr=&id=9cJkAwAAQBAJ&oi=fnd&pg=PT16&dq=analogy+making&ots=9XgoQVDCsY&sig=Tw3C1IIgEbI0nc2gcQkgLsFuGT0,G Beer,2009,books.google.com,"… re-wording, re-beading strains on a strandmakingI and I more different than we couldstand.… , andanalogy-making, which togethermakeup something of the process of assimilation. …",3306
"Starburst dendrimers: molecular‐level control of size, shape, surface chemistry, topology, and flexibility from atoms to macroscopic matter",https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.199001381,DA Tomalia,1990,Wiley Online Library,"… Each of theseanalogiesserves well in dimensionally relating atoms to “pointlike” covalent …The equal radii place the terminal groups on a sphere or a segment of a sphere, thusmaking…",4461
Resource limitation in plants--an economicanalogy,https://www.jstor.org/stable/2097053,AJ Bloom,1985,JSTOR,"… Consequently, the simplifying assumptions that economistsmaketo render their mathematicalapproach tractable may be more reasonable for plant systems than for human systems; …",3426
[BOOK][B]Constructing a language: A usage-based theory of language acquisition,https://books.google.com/books?hl=en&lr=&id=K-b5Dl3MJR4C&oi=fnd&pg=PA1&dq=analogy+making&ots=W-xmfN8Vgo&sig=nH81WpflOQW-YN0JuUhcWSWCP8E,M Tomasello- 2005,2005,books.google.com,"… Most importantly, through various discourse processes (involving various kinds of pragmaticinferencing,analogymaking, and so on) loose and redundantly organized discourse …",11352
[BOOK][B]Time and the other: How anthropologymakesits object,https://www.degruyter.com/document/doi/10.7312/fabi16926-006/html,J Fabian,2014,degruyter.com,"… Not many realize that this questionmakeslittle sense, not so … its external appearance thatwhich itmakesappear, not in its … ananalogyor simile (see 1:398; the terms are Vergleichung …",17114
The dual theory of choice under risk,https://www.jstor.org/stable/1911158,ME Yaari - Econometrica: Journal of the Econometric Society,1987,JSTOR,"… Thismakeseach v EV gamble or a lottery which a decision maker might consider the valuesof … This is inanalogy(and in contrast) with the hypothesis of expected utility theory, which is …",3228
[BOOK][B]Film theory: An introduction,https://books.google.com/books?hl=en&lr=&id=U8Q_DwAAQBAJ&oi=fnd&pg=PT4&dq=analogy+making&ots=SX5jAui6xK&sig=EVE0O3qXD07yCaat08vrIv25OsM,R Stam,2017,books.google.com,"… Tomakea literaryanalogy, it is as if I were mingling the authorial interventionism of a Balzacwith the filtrations of a Flaubert or a Henry James. At times I will present the ideas of others; …",2139
[BOOK][B]Political theology: Four chapters on the concept of sovereignty,https://books.google.com/books?hl=en&lr=&id=MXPs7149s9sC&oi=fnd&pg=PR7&dq=analogy+making&ots=_evwrBYQj1&sig=r54gD1PAMDi2aczIZOwD2fxZOa4,C Schmitt,2005,books.google.com,"… tomakethe decisions appropriate to that exception, indeed that one without the othermakes… The necessarily extraordinary quality of sovereignty is made clear in theanalogyhe uses to …",9079
Quantum theory and five-dimensional relativity theory,https://www.worldscientific.com/doi/pdf/10.1142/9014#page=82,O Klein - The Oskar Klein Memorial Lectures,1999,World Scientific,…maketheanalogycomplete. In mathematical terms this means that the Hamilton–Jacobiequation cannot be interpreted as a characteristic equation of a four-dimensional but rather of a …,3556
[BOOK][B]Meeting the universe halfway: Quantum physics and the entanglement of matter and meaning,https://books.google.com/books?hl=en&lr=&id=H41WUfTU2CMC&oi=fnd&pg=PP1&dq=analogy+making&ots=MKW79qwQy-&sig=UKPZF51KdFWTSAnxhNCrDTnYpQ4,K Barad- 2007,2007,books.google.com,"… But that is precisely the point Frayn wishes tomake: drawing ananalogywith Heisenberg’suncertainty principle, Frayn suggests that the question of why Heisenberg came to Copen…",26672
Decision field theory: a dynamic-cognitive approach to decisionmakingin an uncertain environment.,https://psycnet.apa.org/fulltext/1993-40080-001.html,JR Busemeyer,1993,psycnet.apa.org,"… ,(e) speed–accuracy tradeoff effects in decisionmaking,(f) the inverse relation between …The proposed theory is compared with 4 other theories of decisionmakingunder uncertainty…",2591
A new meta-heuristic algorithm for continuous engineering optimization: harmony search theory and practice,https://www.sciencedirect.com/science/article/pii/S0045782504004682,KS Lee,2005,Elsevier,"… isanalogousto the optimization solution vector, and the musician’s improvisations areanalogous… If all the values of decision variablesmakea good solution, that experience is stored in …",2488
[BOOK][B]Simple heuristics thatmakeus smart,https://books.google.com/books?hl=en&lr=&id=4ObhBwAAQBAJ&oi=fnd&pg=PR9&dq=analogy+making&ots=P1BiPqwI6S&sig=gjd-sirhNuZeo3D0yURja3a47ys,G Gigerenzer,2000,books.google.com,…makingdecisions when time is pressing and deep thought an unaffordable luxury. Theseheuristics can enable both living organisms and artificial systems tomake… simplymakinggood …,8829
Strategic alignment: Leveraging information technology for transforming organizations,https://ieeexplore.ieee.org/abstract/document/5387096/,JC Henderson,1999,ieeexplore.ieee.org,"… This isanalogousto business scope, which deals with … This isanalogousto the concept ofbusiness distinctive … This isanalogousto business governance, which involvesmake-versus-…",7097
Getting to the bottom of “triple bottom line”,https://www.cambridge.org/core/journals/business-ethics-quarterly/article/getting-to-the-bottom-of-triple-bottom-line/A7D95AB81098B4701947C999AE720697,W Norman,2004,cambridge.org,… We submit that the only way tomakesense of such a claim is by … it couldmakesense totalk about a bottom lineanalogousto the … If itmakessense to say that there is a bottom line for …,2307
A theory of organizational knowledge creation,https://www.inderscienceonline.com/doi/abs/10.1504/IJTM.1996.025472,L Nonaka,1996,inderscienceonline.com,"… Tacit knowledge is highly personal and hard to formalize,makingit difficult to communicateto others or … Using an attractive metaphor and/oranalogyis highly effective in fostering direct …",2290
"[BOOK][B]Makingit explicit: Reasoning, representing, and discursive commitment",https://books.google.com/books?hl=en&lr=&id=1ihqvEzZXxMC&oi=fnd&pg=PR11&dq=analogy+making&ots=xOtMqgHSP_&sig=7gxnpvtJW83UyZuci673DTjAIlA,R Brandom- 1994,1994,books.google.com,…MakingIt Explicit is an investigation into the nature of language--the social practices that …MakingIt Explicit is the first attempt to work out in detail a theory that renders linguistic …,8396
Makingsense of latent TGFβ activation,https://journals.biologists.com/jcs/article-abstract/116/2/217/27302,JP Annes,2003,journals.biologists.com,"… These features of a smoke detector haveanalogiesin the structure/function of the LLC.The … of proTGFβ (turning the sensor on ormakingit competent) and activating TGFβ. Thus, …",2380
[BOOK][B]Themakingof the atomic bomb,https://books.google.com/books?hl=en&lr=&id=aSgFMMNQ6G4C&oi=fnd&pg=PA11&dq=analogy+making&ots=JA5qDKYK_-&sig=M241c-YsbuV59c7pZqqI4Olp0d4,R Rhodes,2012,books.google.com,"… There was ananalogousprocess in chemistry. Polanyi had studied it. A comparatively smallnumber of active particles-oxygen atoms, for example-admitted into a chemically unstable …",3216
[BOOK][B]Chaos:Makinga new science,https://books.google.com/books?hl=en&lr=&id=IlwwEAAAQBAJ&oi=fnd&pg=PA1&dq=analogy+making&ots=qV2PM6K80D&sig=yuRW5RRQy1iXhnhy4rIhHjCmGbs,J Gleick,2008,books.google.com,"… Gleick has a novelist's touch for describing his scientists and their settings, an eye for theaptanalogy, and a sense of the dramatic and the poetic."" -San Francisco Chronicle …",15970
[BOOK][B]The sovereignty of good,https://www.taylorfrancis.com/books/mono/10.4324/9781315887524/sovereignty-good-iris-murdoch-mary-midgley,I Murdoch,2013,taylorfrancis.com,"… doubts that we are able tomakea vast difference by exercising … He thought of the good upontheanalogyof the beautiful; … on theanalogyof the beautiful, would seem tomakepossible a …",5038
[BOOK][B]Explaining social behavior: More nuts and bolts for the social sciences,https://books.google.com/books?hl=en&lr=&id=5Cs0CgAAQBAJ&oi=fnd&pg=PR9&dq=analogy+making&ots=3-fu1enmS3&sig=yz2C0qI_E9Wi4fdjf2IfGQVeHys,J Elster- 2015,2015,books.google.com,"… than in another, we have tomakesure that the latter does not … France, we have tomakesurethat the reported differences … , but science can alsomakea contribution by establishing that …",2803
Makingknowledge the basis of a dynamic theory of the firm,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.4250171106,JC Spender- Strategic management journal,1996,Wiley Online Library,Abstract Knowledge is too problematic a concept tomakethe task of building a dynamicknowledge‐based theory of the firm easy. We must also distinguish the theory from the resource…,7606
[BOOK][B]Medical decisionmaking,https://books.google.com/books?hl=en&lr=&id=lfvwEAAAQBAJ&oi=fnd&pg=PR11&dq=analogy+making&ots=S1V9xoPuJU&sig=kSWez9GUyeiiC40M97C3yHHriHE,HC Sox,2024,books.google.com,… guidelines and medical policymaking. Medical DecisionMakingis a valuable resource for… who wish to fully understand and apply the principles of decisionmakingto clinical practice. …,1953
[BOOK][B]Towards a transformation of philosophy,https://www.taylorfrancis.com/books/mono/10.4324/9781003448921/towards-transformation-philosophy-karl-otto-apel-glyn-adey-david-frisby,KO Apel,2023,taylorfrancis.com,… [Confused by theanalogywith the description of the physical.] We talk of processes and …And now theanalogywhich was tomakeus understand our thoughts falls to pieces. So we have …,956
[BOOK][B]A theory of adaptation,https://www.taylorfrancis.com/books/mono/10.4324/9780203957721/theory-adaptation-linda-hutcheon,L Hutcheon,2006,taylorfrancis.com,"… commercial success of adaptations—would appear tomakeus uneasy. As early as 1926, …; theymakesimplifying selections, but also amplify and extrapolate; theymakeanalogies; they …",8568
The new dynamics of strategy: Sense-makingin a complex and complicated world,https://ieeexplore.ieee.org/abstract/document/5386804/,CF Kurtz,2003,ieeexplore.ieee.org,"… -makingdevice we have developed to help peoplemake… , decision-making, strategy, andpolicy-making. The framework … and its use in group sense-makingand discourse is described. …",2361
[BOOK][B]The meme machine,https://books.google.com/books?hl=en&lr=&id=hpU0FOqr2YEC&oi=fnd&pg=PP2&dq=analogy+making&ots=gvGIdJFJJh&sig=heUgDPR_-vQGmSs6NT_DG3yF4NM,SJ Blackmore- 2000,2000,books.google.com,"… I would never have thought so, but Susan Blackmore in this bookmakesa tantalisingly …analogyor metaphor we would somehow be doing a disservice to biological evolution bymaking…",6712
Precautionary Saving in the Small and in the Large,https://www.nber.org/papers/w2848,MS Kimball- 1989,1989,nber.org,"… In order to state these results we must first define two conceptsanalogousto risk premia. …Tomakethe application of the foregoing result to precautionary saving, substitute —v for c1 and …",3455
Cognitive reflection and decisionmaking,https://www.aeaweb.org/articles?id=10.1257%2F089533005775196732&utm_source=theelevatedmindset.beehiiv.com&utm_medium=referral&utm_campaign=ultimate-guide-to-brains-maxxing-series-part-4-2-systems-to-think-better,S Frederick- Journal of Economic perspectives,2005,aeaweb.org,"… Fourth, respondents do much better onanalogousproblems that invite more computation. …CRT and measures of various decision-makingcharacteristics, like time and risk preferences.…",7529
[BOOK][B]Judgment in managerial decisionmaking,https://books.google.com/books?hl=en&lr=&id=6HP4DwAAQBAJ&oi=fnd&pg=PA1&dq=analogy+making&ots=pXe7PH_e78&sig=KOZPFCR7BlDsY42rnXOVf261lVg,MH Bazerman,2012,books.google.com,"… our own decisionmakingprocesses helps clarify where we are likely tomakemistakes and… is critical tomakingthe right choice. Third, plenty of good advice aboutmakingdecisions is …",6113
[BOOK][B]The manufacture of knowledge: An essay on the constructivist and contextual nature of science,https://books.google.com/books?hl=en&lr=&id=DPwgBQAAQBAJ&oi=fnd&pg=PP1&dq=analogy+making&ots=cg6ZepAemo&sig=TmmkDTtTZ8n9-mqev-_HciPY3c8,KD Knorr-Cetina- 2013,2013,books.google.com,"… the present conception of research calls suchanalogiesinto question: for here, the selectionsof the laboratory are not linked to individual decision-making, but seen as the outcome of …",6678
The physics of optimal decisionmaking: a formal analysis of models of performance in two-alternative forced-choice tasks.,https://psycnet.apa.org/journals/rev/113/4/700.html?uid=2006-12689-002,R Bogacz,2006,psycnet.apa.org,"… decisionmakingin two-alternative forced-choice (TAFC) tasks. They begin by analyzing 6models of TAFC decisionmakingand show … Followinganalogouscalculations for x2, we have …",2315
